sample.name,percent.C,percent.D
A1,31.33,68.67
A10,58.65,41.35
A11,52.39,47.61
A12,43.31,56.69
A13,80.56,19.44
A14,50.33,49.67
A15,57.37,42.63
A16,62.40,37.60
A2,50.45,49.55
A3,58.39,41.61
A4,40.95,59.05
A5,74.80,25.20
A6,49.94,50.06
A7,78.08,21.92
A8,65.97,34.03
A9,30.11,69.89
B1,100.00,0.00
B10,100.00,0.00
B11,100.00,0.00
B12,100.00,0.00
B14,100.00,0.00
B15,100.00,0.00
B16,100.00,0.00
B2,100.00,0.00
B3,100.00,0.00
B4,100.00,0.00
B5,100.00,0.00
B7,100.00,0.00
B8,100.00,0.00
B9,100.00,0.00
C1,0.00,100.00
C10,0.00,100.00
C11,0.00,100.00
C12,0.00,100.00
C13,0.00,100.00
C14,15.14,84.86
C15,0.00,100.00
C16,0.00,100.00
C2,0.00,100.00
C3,0.00,100.00
C4,0.00,100.00
C5,0.00,100.00
C6,1.93,98.07
C7,0.00,100.00
C8,0.00,100.00
C9,0.00,100.00
D1,0.00,100.00
D10,0.00,100.00
D11,0.00,100.00
D12,0.00,100.00
D13,0.00,100.00
D14,0.00,100.00
D15,0.00,100.00
D16,0.00,100.00
D2,0.00,100.00
D3,0.00,100.00
D4,0.00,100.00
D5,0.00,100.00
D6,0.00,100.00
D7,0.00,100.00
D8,0.46,99.54
D9,0.00,100.00
E1,100.00,0.00
E10,100.00,0.00
E11,100.00,0.00
E12,100.00,0.00
E13,100.00,0.00
E14,100.00,0.00
E15,100.00,0.00
E16,100.00,0.00
E2,100.00,0.00
E3,100.00,0.00
E4,100.00,0.00
E5,100.00,0.00
E6,100.00,0.00
E7,100.00,0.00
E8,100.00,0.00
E9,100.00,0.00
F1,0.00,100.00
F10,0.00,100.00
F11,0.00,100.00
F12,0.00,100.00
F13,0.00,100.00
F14,0.00,100.00
F15,0.00,100.00
F16,0.00,100.00
F2,0.00,100.00
F3,0.00,100.00
F4,0.00,100.00
F5,0.00,100.00
F6,0.00,100.00
F7,0.00,100.00
F8,0.00,100.00
F9,0.00,100.00
G10,83.28,16.72
G11,53.55,46.45
G12,25.48,74.52
G13,21.02,78.98
G14,19.01,80.99
G15,64.28,35.72
G16,42.45,57.55
G2,35.92,64.08
G3,58.52,41.48
G4,14.14,85.86
G6,21.95,78.05
G9,19.08,80.92
H1,100.00,0.00
H10,100.00,0.00
H11,100.00,0.00
H12,100.00,0.00
H13,100.00,0.00
H14,100.00,0.00
H15,100.00,0.00
H16,100.00,0.00
H2,100.00,0.00
H3,100.00,0.00
H4,100.00,0.00
H5,100.00,0.00
H6,100.00,0.00
H7,100.00,0.00
H8,97.95,2.05
H9,100.00,0.00
I1,2.14,97.86
I10,0.00,100.00
I11,0.00,100.00
I12,0.00,100.00
I13,0.00,100.00
