"","sample.name","C1","C2","D1","D2","C","D","samp.num","samp.let"
"1","T16",0,0,100,0,0,100,16,"T"
"2","C9",0,0,100,0,0,100,9,"C"
"3","O2",0,0,100,0,0,100,2,"O"
"4","T2",0,0,100,0,0,100,2,"T"
"5","C10",0,0,100,0,0,100,10,"C"
"6","O10",0,0,100,0,0,100,10,"O"
"7","F12",0,0,100,0,0,100,12,"F"
"8","D3",0,0,100,0,0,100,3,"D"
"9","O5",0,0,100,0,0,100,5,"O"
"10","O11",0,0,100,0,0,100,11,"O"
"11","O1",0,0,100,0,0,100,1,"O"
"12","O14",0,0,100,0,0,100,14,"O"
"13","O7",0,0,100,0,0,100,7,"O"
"14","T8",0,0,100,0,0,100,8,"T"
"15","D13",0,0,100,0,0,100,13,"D"
"16","O12",0,0,100,0,0,100,12,"O"
"17","F14",0,0,100,0,0,100,14,"F"
"18","I12",0,0,100,0,0,100,12,"I"
"19","T12",0,0,100,0,0,100,12,"T"
"20","T5",0,0,100,0,0,100,5,"T"
"21","F15",0,0,100,0,0,100,15,"F"
"22","I9",0,0,100,0,0,100,9,"I"
"23","T10",0,0,100,0,0,100,10,"T"
"24","D11",0,0,100,0,0,100,11,"D"
"25","I10",0,0,100,0,0,100,10,"I"
"26","F1",0,0,100,0,0,100,1,"F"
"27","T1",0,0,100,0,0,100,1,"T"
"28","C12",0,0,100,0,0,100,12,"C"
"29","T11",0,0,100,0,0,100,11,"T"
"30","T4",0,0,100,0,0,100,4,"T"
"31","F2",0,0,100,0,0,100,2,"F"
"32","I4",0,0,100,0,0,100,4,"I"
"33","F6",0,0,100,0,0,100,6,"F"
"34","F5",0,0,100,0,0,100,5,"F"
"35","C3",0,0,100,0,0,100,3,"C"
"36","F10",0,0,100,0,0,100,10,"F"
"37","D14",0,0,100,0,0,100,14,"D"
"38","T6",0,0,100,0,0,100,6,"T"
"39","F13",0,0,100,0,0,100,13,"F"
"40","O4",0,0,100,0,0,100,4,"O"
"41","D16",0,0,100,0,0,100,16,"D"
"42","D9",0,0,100,0,0,100,9,"D"
"43","T7",0,0,100,0,0,100,7,"T"
"44","T9",0,0,100,0,0,100,9,"T"
"45","D4",0,0,100,0,0,100,4,"D"
"46","F3",0,0,100,0,0,100,3,"F"
"47","F9",0,0,100,0,0,100,9,"F"
"48","O9",0,0,100,0,0,100,9,"O"
"49","I13",0,0,100,0,0,100,13,"I"
"50","C4",0,0,100,0,0,100,4,"C"
"51","C13",0,0,100,0,0,100,13,"C"
"52","C15",0,0,100,0,0,100,15,"C"
"53","D7",0,0,100,0,0,100,7,"D"
"54","O16",0,0,100,0,0,100,16,"O"
"55","F8",0,0,100,0,0,100,8,"F"
"56","I3",0,0,100,0,0,100,3,"I"
"57","F4",0,0,100,0,0,100,4,"F"
"58","D10",0,0,100,0,0,100,10,"D"
"59","D6",0,0,100,0,0,100,6,"D"
"60","T13",0,0,100,0,0,100,13,"T"
"61","O6",0,0,100,0,0,100,6,"O"
"62","D15",0,0,100,0,0,100,15,"D"
"63","D2",0,0,100,0,0,100,2,"D"
"64","D5",0,0,100,0,0,100,5,"D"
"65","O15",0,0,100,0,0,100,15,"O"
"66","C2",0,0,100,0,0,100,2,"C"
"67","D1",0,0,100,0,0,100,1,"D"
"68","I6",0,0,100,0,0,100,6,"I"
"69","C7",0,0,100,0,0,100,7,"C"
"70","D12",0,0,100,0,0,100,12,"D"
"71","O3",0,0,100,0,0,100,3,"O"
"72","I15",0,0,100,0,0,100,15,"I"
"73","C1",0,0,100,0,0,100,1,"C"
"74","F11",0,0,100,0,0,100,11,"F"
"75","I8",0,0,100,0,0,100,8,"I"
"76","C16",0,0,100,0,0,100,16,"C"
"77","D8",0.45666475059079,0,99.5433352494092,0,0.45666475059079,99.5433352494092,8,"D"
"78","I14",0,0,100,0,0,100,14,"I"
"79","O8",0,0,100,0,0,100,8,"O"
"80","C8",0,0,100,0,0,100,8,"C"
"81","O13",0,0,100,0,0,100,13,"O"
"82","I11",0,0,100,0,0,100,11,"I"
"83","N16",0.747351419420187,0,99.2526485805798,0,0.747351419420187,99.2526485805798,16,"N"
"84","F16",0,0,100,0,0,100,16,"F"
"85","I5",1.10929089632577,0,98.8907091036742,0,1.10929089632577,98.8907091036742,5,"I"
"86","C11",0,0,100,0,0,100,11,"C"
"87","T3",0,0,100,0,0,100,3,"T"
"88","F7",0,0,100,0,0,100,7,"F"
"89","I1",2.13618157543391,0,97.8638184245661,0,2.13618157543391,97.8638184245661,1,"I"
"90","C5",0,0,100,0,0,100,5,"C"
"91","C6",1.92542500234808,0,98.0745749976519,0,1.92542500234808,98.0745749976519,6,"C"
"92","I7",0,0,100,0,0,100,7,"I"
"93","I2",4.13004588939877,0.085556506183402,95.7843976044178,0,4.21560239558217,95.7843976044178,2,"I"
