TagID,Colony Color,Depth.ft,Samp.Date,ColonyDNA.ID,UNIQUEID,Land_Ocean,SampleNum,SampLoc,Sub.loc,BranchLoc,Sample_name,Zoox,CD_few,Location,LocSamp
970,Orange,7,7/3/19,A,A1,Ocean,1,Branch ,tip,,A1,CD,,Branch tip,Branch tip_A1
970,Orange,7,7/3/19,A,A2,Ocean,2,Branch  ,mid,Inner,A2,CD,,Branch mid,Branch mid_A2
970,Orange,7,7/3/19,A,A3,Ocean,3,Branch  ,base,Inner,A3,CD,,Branch base,Branch base_A3
970,Orange,7,7/3/19,A,A4,Ocean,4,Branch,tip,,A4,CD,,Branch tip,Branch tip_A4
970,Orange,7,7/3/19,A,A5,Ocean,5,Branch  ,mid,Outer,A5,CD,,Branch mid,Branch mid_A5
970,Orange,7,7/3/19,A,A6,Ocean,6,Branch  ,base,Inner,A6,CD,,Branch base,Branch base_A6
970,Orange,7,7/3/19,A,A7,Ocean,7,Deepest,,,A7,CD,,Deepest,Deepest_A7
970,Orange,7,7/3/19,A,A8,Ocean,8,Lowest,,,A8,CD,,Lowest,Lowest_A8
970,Orange,7,7/3/19,A,A9,Land,9,Branch ,tip,,A9,CD,,Branch tip,Branch tip_A9
970,Orange,7,7/3/19,A,A10,Land,10,Branch  ,mid,Outer,A10,CD,,Branch mid,Branch mid_A10
970,Orange,7,7/3/19,A,A11,Land,11,Branch  ,base,Inner,A11,CD,,Branch base,Branch base_A11
970,Orange,7,7/3/19,A,A12,Land,12,Branch ,tip,,A12,CD,,Branch tip,Branch tip_A12
970,Orange,7,7/3/19,A,A13,Land,13,Branch  ,mid,Outer,A13,CD,,Branch mid,Branch mid_A13
970,Orange,7,7/3/19,A,A14,Land,14,Branch  ,base,Inner,A14,CD,,Branch base,Branch base_A14
970,Orange,7,7/3/19,A,A15,Land,15,Deepest,,,A15,CD,,Deepest,Deepest_A15
970,Orange,7,7/3/19,A,A16,Land,16,Lowest,,,A16,CD,,Lowest,Lowest_A16
965,Brown,7,7/5/19,B,B1,Ocean,1,Branch ,tip,,B1,C,,Branch tip,Branch tip_B1
965,Brown,7,7/5/19,B,B2,Ocean,2,Branch  ,mid,Inner,B2,C,,Branch mid,Branch mid_B2
965,Brown,7,7/5/19,B,B3,Ocean,3,Branch  ,base,Inner,B3,C,,Branch base,Branch base_B3
965,Brown,7,7/5/19,B,B4,Ocean,4,Branch ,tip,,B4,C,,Branch tip,Branch tip_B4
965,Brown,7,7/5/19,B,B5,Ocean,5,Branch  ,mid,Outer,B5,C,,Branch mid,Branch mid_B5
965,Brown,7,7/5/19,B,B6,Ocean,6,Branch  ,base,Outer,B6,C,,Branch base,Branch base_B6
965,Brown,7,7/5/19,B,B7,Ocean,7,Deepest,,,B7,C,,Deepest,Deepest_B7
965,Brown,7,7/5/19,B,B8,Ocean,8,Lowest,,,B8,C,,Lowest,Lowest_B8
