sample_name,Group
A1,PLATEVI_D_9
A10,PLATEIV_B_4
A11,PLATEIV_C_4
A12,PLATEIV_D_4
A13,PLATEIV_E_4
A14,PLATEIV_F_4
A15,PLATEIV_G_4
A16,PLATEVI_E_11
A2,PLATEIV_B_3
A3,PLATEIV_C_3
A4,PLATEIV_D_3
A5,PLATEIV_E_3
A6,PLATEIV_F_3
A7,PLATEIV_G_3
A8,PLATEVI_E_10
A9,PLATEVI_D_10
B1,PLATEII_A_7
B10,PLATEII_B_8
B11,PLATEII_C_8
B12,PLATEII_D_8
B13,PLATEVI_C_8
B14,PLATEII_F_8
B15,PLATEII_G_8
B16,PLATEII_H_8
B2,PLATEII_B_7
B3,PLATEII_C_7
B4,PLATEII_D_7
B5,PLATEVI_C_7
B6,PLATEII_F_7
B7,PLATEII_G_7
B8,PLATEII_H_7
B9,PLATEII_A_8
C1,PLATEII_A_5
C10,PLATEII_B_6
C11,PLATEII_C_6
C12,PLATEII_D_6
C12b,PLATEV_C_6
C13,PLATEVI_C_6
C14,PLATEII_F_6
C15,PLATEII_G_6
C16,PLATEII_H_6
C2,PLATEII_B_5
C3,PLATEII_C_5
C4,PLATEII_D_5
C5,PLATEVI_D_1
C6,PLATEII_F_5
C7,PLATEII_G_5
C8,PLATEII_H_5
C9,PLATEII_A_6
D1,PLATEVI_B_7
D10,PLATEIII_B_10
D11,PLATEIII_C_10
D12,PLATEIII_D_10
D13,PLATEIII_E_10
D14,PLATEIII_F_10
D15,PLATEIII_G_10
D16,PLATEIII_H_10
D2,PLATEIII_B_9
D3,PLATEIII_C_9
D4,PLATEIII_D_9
D5,PLATEIII_E_9
D6,PLATEIII_F_9
D7,PLATEIII_G_9
D8,PLATEIII_H_9
D9,PLATEVI_B_8
DNA_NTC1,PLATEI_H_4
DNA_NTC2,PLATEIII_H_7
E1,PLATEVI_B_9
E10,PLATEIII_B_12
E11,PLATEIII_C_12
E12,PLATEIII_D_12
E13,PLATEIII_E_12
E14,PLATEIII_F_12
E15,PLATEIII_G_12
E16,PLATEIII_H_12
E2,PLATEIII_B_11
E3,PLATEIII_C_11
E4,PLATEIII_D_11
E5,PLATEIII_E_11
E6,PLATEIII_F_11
E7,PLATEIII_G_11
E8,PLATEIII_H_11
E9,PLATEVI_B_10
F1,PLATEVI_A_1
F10,PLATEI_B_2
F10b,PLATEV_A_2
F11,PLATEI_C_2
F12,PLATEI_D_2
F13,PLATEI_E_2
F14,PLATEI_F_2
F15,PLATEI_G_2
F15b,PLATEV_A_11
F16,PLATEI_H_2
F2,PLATEI_B_1
F2b,PLATEV_C_2
F3,PLATEI_C_1
F4,PLATEI_D_1
F4b,PLATEV_A_4
F5,PLATEI_E_1
F5b,PLATEV_A_6
F6,PLATEI_F_1
F6b,PLATEV_A_9
F7,PLATEI_G_1
F7b,PLATEV_A_10
F8,PLATEI_H_1
F8b,PLATEV_B_6
F9,PLATEVI_A_2
G10,PLATEI_H_3
G11,PLATEVI_A_4
G12,PLATEI_B_4
G13,PLATEI_C_4
G14,PLATEI_D_4
G15,PLATEI_E_4
G16,PLATEI_F_4
G2,PLATEVI_A_3
G3,PLATEI_B_3
G4,PLATEI_C_3
G6,PLATEI_D_3
G7,PLATEI_E_3
G7b,PLATEV_A_7
G8,PLATEI_F_3
G9,PLATEI_G_3
G9b,PLATEV_A_12
H10,PLATEII_B_2
H11,PLATEII_C_2
H12,PLATEII_D_2
H13,PLATEVI_C_2
H14,PLATEII_F_2
H15,PLATEII_G_2
H16,PLATEII_H_2
H1,PLATEII_A_1
H1b,PLATEV_B_8
H2,PLATEII_B_1
H3,PLATEII_C_1
H3b,PLATEV_B_9
H4,PLATEII_D_1
H4b,PLATEV_B_10
H5,PLATEVI_C_1
H6,PLATEII_F_1
H6b,PLATEV_B_11
H7,PLATEII_G_1
H7b,PLATEV_B_12
H8,PLATEII_H_1
H8b,PLATEV_C_4
H9,PLATEII_A_2
I1,PLATEII_A_3
I10,PLATEII_B_4
I11,PLATEII_C_4
I12,PLATEII_D_4
I13,PLATEVI_C_4
I14,PLATEII_F_4
I15,PLATEII_G_4
I16,PLATEII_H_4
I2,PLATEII_B_3
I3,PLATEII_C_3
I4,PLATEII_D_3
I5,PLATEVI_C_3
I6,PLATEII_F_3
I7,PLATEII_G_3
I8,PLATEII_H_3
I9,PLATEII_A_4
J1,PLATEII_A_11
J10,PLATEII_B_12
J11,PLATEII_C_12
J12,PLATEII_D_12
J13,PLATEVI_C_12
J14,PLATEII_F_12
J15,PLATEII_G_12
J16,PLATEVI_D_6
J2,PLATEII_B_11
J3,PLATEII_C_11
J4,PLATEII_D_11
J5,PLATEVI_C_11
J6,PLATEII_F_11
J7,PLATEII_G_11
J8,PLATEVI_D_4
J9,PLATEII_A_12
K1,PLATEII_A_9
K10,PLATEII_B_10
K11,PLATEII_C_10
K12,PLATEII_D_10
K13,PLATEVI_C_10
K14,PLATEII_F_10
K15,PLATEII_G_10
K16,PLATEVI_D_3
K2,PLATEII_B_9
K3,PLATEII_C_9
K4,PLATEII_D_9
K5,PLATEVI_C_9
K6,PLATEII_F_9
K7,PLATEII_G_9
K8,PLATEVI_D_2
K9,PLATEII_A_10
L1,PLATEVI_E_6
L10,PLATEIV_B_12
L11,PLATEIV_C_12
L12,PLATEIV_D_12
L13,PLATEIV_E_12
L14,PLATEIV_F_12
L15,PLATEIV_G_12
L16,PLATEIV_H_12
L2,PLATEIV_B_11
L3,PLATEIV_C_11
L4,PLATEIV_D_11
L5,PLATEIV_E_11
L6,PLATEIV_F_11
L7,PLATEIV_G_11
L8,PLATEIV_H_11
L9,PLATEVI_E_7
M1,PLATEVI_E_3
M10,PLATEIV_B_10
M11,PLATEIV_C_10
M12,PLATEIV_D_10
M13,PLATEIV_E_10
M14,PLATEIV_F_10
M15,PLATEIV_G_10
M16,PLATEIV_H_10
M2,PLATEIV_B_9
M3,PLATEIV_C_9
M4,PLATEIV_D_9
M5,PLATEIV_E_9
M6,PLATEIV_F_9
M7,PLATEIV_G_9
M8,PLATEIV_H_9
M9,PLATEVI_E_4
MOCK_PI,PLATEI_H_9
MOCK_PII,PLATEII_H_9
MOCK_PIII,PLATEIII_A_9
MOCK_PIV,PLATEIV_H_1
MOCK_PV,PLATEV_D_7
MOCK_PVIa,PLATEVI_F_1
MOCK_PVIb,PLATEVI_G_12
N1,PLATEIII_A_3
N10,PLATEIII_B_4
N11,PLATEIII_C_4
N12,PLATEIII_D_4
N13,PLATEIII_E_4
N14,PLATEIII_F_4
N15,PLATEIII_G_4
N16,PLATEIII_H_4
N2,PLATEIII_B_3
N3,PLATEIII_C_3
N4,PLATEIII_D_3
N5,PLATEIII_E_3
N6,PLATEIII_F_3
N7,PLATEIII_G_3
N8,PLATEIII_H_3
N9,PLATEIII_A_4
NTC_PIa,PLATEI_H_10
NTC_PIb,PLATEI_H_11
NTC_PIc,PLATEI_H_12
NTC_PIIa,PLATEII_H_10
NTC_PIIb,PLATEII_H_11
NTC_PIIc,PLATEII_H_12
NTC_PIIIa,PLATEIII_A_10
NTC_PIIIb,PLATEIII_A_11
NTC_PIIIc,PLATEIII_A_12
NTC_PIVa,PLATEIV_H_2
NTC_PIVb,PLATEIV_H_3
NTC_PIVc,PLATEIV_H_4
NTC_Pva,PLATEV_D_3
NTC_PVb,PLATEV_D_4
NTC_PVc,PLATEV_D_6
NTC_PVIa,PLATEVI_B_11
NTC_PVIb,PLATEVI_B_12
NTC_PVIc,PLATEVI_E_12
O1,PLATEIII_A_1
O10,PLATEIII_B_2
O11,PLATEIII_C_2
O12,PLATEIII_D_2
O13,PLATEIII_E_2
O14,PLATEIII_F_2
O15,PLATEIII_G_2
O16,PLATEIII_H_2
O2,PLATEIII_B_1
O2b,PLATEV_C_11
O3,PLATEIII_C_1
O3b,PLATEV_C_12
O4,PLATEIII_D_1
O5,PLATEIII_E_1
O5b,PLATEV_C_7
O6,PLATEIII_F_1
O6b,PLATEV_C_8
O7,PLATEIII_G_1
O7b,PLATEV_C_9
O8,PLATEIII_H_1
O9,PLATEIII_A_2
P1,PLATEIII_A_5
P10,PLATEIII_B_6
P11,PLATEIII_C_6
P12,PLATEIII_D_6
P13,PLATEIII_E_6
P14,PLATEIII_F_6
P14b,PLATEV_C_10
P15,PLATEIII_G_6
P16,PLATEIII_H_6
P2,PLATEIII_B_5
P3,PLATEIII_C_5
P4,PLATEIII_D_5
P5,PLATEIII_E_5
P6,PLATEIII_F_5
P7,PLATEIII_G_5
P8,PLATEIII_H_5
P9,PLATEIII_A_6
PLATEI_A_1,PLATEI_A_1
PLATEI_A_10,PLATEI_A_10
PLATEI_A_11,PLATEI_A_11
PLATEI_A_12,PLATEI_A_12
PLATEI_A_2,PLATEI_A_2
PLATEI_A_3,PLATEI_A_3
PLATEI_A_4,PLATEI_A_4
PLATEI_A_5,PLATEI_A_5
PLATEI_A_6,PLATEI_A_6
PLATEI_A_7,PLATEI_A_7
PLATEI_A_8,PLATEI_A_8
PLATEI_A_9,PLATEI_A_9
PLATEII_E_1,PLATEII_E_1
PLATEII_E_10,PLATEII_E_10
PLATEII_E_11,PLATEII_E_11
PLATEII_E_12,PLATEII_E_12
PLATEII_E_2,PLATEII_E_2
PLATEII_E_3,PLATEII_E_3
PLATEII_E_4,PLATEII_E_4
PLATEII_E_5,PLATEII_E_5
PLATEII_E_6,PLATEII_E_6
PLATEII_E_7,PLATEII_E_7
PLATEII_E_8,PLATEII_E_8
PLATEII_E_9,PLATEII_E_9
PLATEIV_A_1,PLATEIV_A_1
PLATEIV_A_10,PLATEIV_A_10
PLATEIV_A_11,PLATEIV_A_11
PLATEIV_A_12,PLATEIV_A_12
PLATEIV_A_2,PLATEIV_A_2
PLATEIV_A_3,PLATEIV_A_3
PLATEIV_A_4,PLATEIV_A_4
PLATEIV_A_6,PLATEIV_A_6
PLATEIV_A_7,PLATEIV_A_7
PLATEIV_A_8,PLATEIV_A_8
PLATEIV_A_9,PLATEIV_A_9
PLATEIV_B_5,PLATEIV_B_5
PLATEIV_C_5,PLATEIV_C_5
PLATEIV_D_5,PLATEIV_D_5
PLATEIV_E_5,PLATEIV_E_5
PLATEIV_F_5,PLATEIV_F_5
PLATEIV_G_5,PLATEIV_G_5
PLATEIV_H_5,PLATEIV_H_5
PLATEV_A_1,PLATEV_A_1
PLATEV_B_1,PLATEV_B_1
PLATEV_B_5,PLATEV_B_5
PLATEV_C_1,PLATEV_C_1
PLATEV_C_5,PLATEV_C_5
PLATEV_D_1,PLATEV_D_1
PLATEV_D_10,PLATEV_D_10
PLATEV_D_11,PLATEV_D_11
PLATEV_D_12,PLATEV_D_12
PLATEV_D_5,PLATEV_D_5
PLATEV_D_8,PLATEV_D_8
PLATEV_D_9,PLATEV_D_9
PLATEV_E_1,PLATEV_E_1
PLATEV_E_10,PLATEV_E_10
PLATEV_E_11,PLATEV_E_11
PLATEV_E_12,PLATEV_E_12
PLATEV_E_2,PLATEV_E_2
PLATEV_E_3,PLATEV_E_3
PLATEV_E_4,PLATEV_E_4
PLATEV_E_6,PLATEV_E_6
PLATEV_E_8,PLATEV_E_8
PLATEV_E_9,PLATEV_E_9
PLATEV_F_1,PLATEV_F_1
PLATEV_F_10,PLATEV_F_10
PLATEV_F_11,PLATEV_F_11
PLATEV_F_12,PLATEV_F_12
PLATEV_F_2,PLATEV_F_2
PLATEV_F_3,PLATEV_F_3
PLATEV_F_4,PLATEV_F_4
PLATEV_F_6,PLATEV_F_6
PLATEV_F_7,PLATEV_F_7
PLATEV_F_8,PLATEV_F_8
PLATEV_F_9,PLATEV_F_9
PLATEV_G_1,PLATEV_G_1
PLATEV_G_10,PLATEV_G_10
PLATEV_G_11,PLATEV_G_11
PLATEV_G_12,PLATEV_G_12
PLATEV_G_2,PLATEV_G_2
PLATEV_G_3,PLATEV_G_3
PLATEV_G_4,PLATEV_G_4
PLATEV_G_5,PLATEV_G_5
PLATEV_G_6,PLATEV_G_6
PLATEV_G_7,PLATEV_G_7
PLATEV_G_8,PLATEV_G_8
PLATEV_G_9,PLATEV_G_9
PLATEV_H_1,PLATEV_H_1
PLATEV_H_10,PLATEV_H_10
PLATEV_H_11,PLATEV_H_11
PLATEV_H_12,PLATEV_H_12
PLATEV_H_2,PLATEV_H_2
PLATEV_H_3,PLATEV_H_3
PLATEV_H_4,PLATEV_H_4
PLATEV_H_5,PLATEV_H_5
PLATEV_H_6,PLATEV_H_6
PLATEV_H_7,PLATEV_H_7
PLATEV_H_8,PLATEV_H_8
PLATEV_H_9,PLATEV_H_9
PLATEVI_A_5,PLATEVI_A_5
PLATEVI_B_5,PLATEVI_B_5
PLATEVI_C_5,PLATEVI_C_5
PLATEVI_D_5,PLATEVI_D_5
PLATEVI_E_5,PLATEVI_E_5
PLATEVI_F_5,PLATEVI_F_5
PLATEVI_G_10,PLATEVI_G_10
PLATEVI_G_11,PLATEVI_G_11
PLATEVI_G_5,PLATEVI_G_5
PLATEVI_G_8,PLATEVI_G_8
PLATEVI_G_9,PLATEVI_G_9
PLATEVI_H_1,PLATEVI_H_1
PLATEVI_H_10,PLATEVI_H_10
PLATEVI_H_11,PLATEVI_H_11
PLATEVI_H_12,PLATEVI_H_12
PLATEVI_H_2,PLATEVI_H_2
PLATEVI_H_3,PLATEVI_H_3
PLATEVI_H_4,PLATEVI_H_4
PLATEVI_H_5,PLATEVI_H_5
PLATEVI_H_6,PLATEVI_H_6
PLATEVI_H_7,PLATEVI_H_7
PLATEVI_H_8,PLATEVI_H_8
PLATEVI_H_9,PLATEVI_H_9
Q1,PLATEIII_A_7
Q10,PLATEIII_B_8
Q11,PLATEIII_C_8
Q12,PLATEIII_D_8
Q13,PLATEIII_E_8
Q14,PLATEIII_F_8
Q15,PLATEIII_G_8
Q16,PLATEIII_H_8
Q2,PLATEIII_B_7
Q3,PLATEIII_C_7
Q4,PLATEIII_D_7
Q5,PLATEIII_E_7
Q6,PLATEIII_F_7
Q7,PLATEIII_G_7
Q8,PLATEI_G_4
Q9,PLATEIII_A_8
R1,PLATEVI_B_6
R10,PLATEI_B_6
R10b,PLATEV_A_3
R11,PLATEI_C_6
R12,PLATEI_D_6
R13,PLATEI_E_6
R14,PLATEI_F_6
R15,PLATEI_G_6
R16,PLATEI_H_6
R2,PLATEI_B_5
R3,PLATEI_C_5
R4,PLATEI_D_5
R5,PLATEI_E_5
R6,PLATEI_F_5
R7,PLATEI_G_5
R8,PLATEI_H_5
R9,PLATEVI_A_6
R9b,PLATEV_B_7
S1,PLATEVI_A_7
S10,PLATEI_B_8
S11,PLATEI_C_8
S12,PLATEI_D_8
S12b,PLATEV_C_3
S13,PLATEI_E_8
S13b,PLATEV_A_8
S14,PLATEI_F_8
S15,PLATEI_G_8
S16,PLATEI_H_8
S2,PLATEI_B_7
S3,PLATEI_C_7
S4,PLATEI_D_7
S5,PLATEI_E_7
S6,PLATEI_F_7
S7,PLATEI_G_7
S7b,PLATEV_B_4
S8,PLATEI_H_7
S9,PLATEVI_A_8
T1,PLATEVI_A_9
T10,PLATEI_B_10
T11,PLATEI_C_10
T12,PLATEI_D_10
T13,PLATEI_E_10
T14,PLATEI_F_10
T15,PLATEI_G_10
T15b,PLATEV_B_2
T16,PLATEVI_B_2
T2,PLATEI_B_9
T3,PLATEI_C_9
T4,PLATEI_D_9
T5,PLATEI_E_9
T6,PLATEI_F_9
T7,PLATEI_G_9
T8,PLATEVI_B_1
T9,PLATEVI_A_10
U1,PLATEVI_A_11
U10,PLATEI_B_12
U11,PLATEI_C_12
U12,PLATEI_D_12
U13,PLATEI_E_12
U14,PLATEI_F_12
U15,PLATEI_G_12
U16,PLATEVI_B_4
U2,PLATEI_B_11
U3,PLATEI_C_11
U4,PLATEI_D_11
U5,PLATEI_E_11
U6,PLATEI_F_11
U7,PLATEI_G_11
U7b,PLATEV_B_3
U8,PLATEVI_B_3
U9,PLATEVI_A_12
V1,PLATEVI_D_11
V10,PLATEIV_B_6
V11,PLATEIV_C_6
V12,PLATEIV_D_6
V13,PLATEIV_E_6
V14,PLATEIV_F_6
V15,PLATEIV_G_6
V16,PLATEIV_H_6
V9,PLATEVI_D_12
W1,PLATEVI_E_1
W10,PLATEIV_B_8
W11,PLATEIV_C_8
W12,PLATEIV_D_8
W13,PLATEIV_E_8
W14,PLATEIV_F_8
W15,PLATEIV_G_8
W16,PLATEIV_H_8
W2,PLATEIV_B_7
W3,PLATEIV_C_7
W4,PLATEIV_D_7
W5,PLATEIV_E_7
W6,PLATEIV_F_7
W7,PLATEIV_G_7
