sample_name,tag.id,colony.color,depth.ft,samp.date,colonyDNA.id,UNIQUEID,land_ocean,sample_num,sensor_num,octo_num,samp_loc,sub_loc,branch_loc,branch_plate,sample.name,dom,cd_few,location,loc_samp_nam,dups,sample type
A1,970,Orange,7,7/3/19,A,A1,Ocean,1,NA,,Branch,tip,,A,A1,CD,,Branch tip,Branch tip_A1,,sample
A10,970,Orange,7,7/3/19,A,A10,Land,10,5,Octo_2,Branch,mid,Outer,C,A10,CD,,Branch mid,Branch mid_A10,,sample
A11,970,Orange,7,7/3/19,A,A11,Land,11,NA,,Branch,base,Inner,C,A11,CD,,Branch base,Branch base_A11,,sample
A12,970,Orange,7,7/3/19,A,A12,Land,12,NA,,Branch,tip,,D,A12,CD,,Branch tip,Branch tip_A12,,sample
A13,970,Orange,7,7/3/19,A,A13,Land,13,NA,,Branch,mid,Outer,D,A13,CD,,Branch mid,Branch mid_A13,,sample
A14,970,Orange,7,7/3/19,A,A14,Land,14,NA,,Branch,base,Inner,D,A14,CD,,Branch base,Branch base_A14,,sample
A15,970,Orange,7,7/3/19,A,A15,Land,15,6,Octo_2,Deepest,,,,A15,CD,,Deepest,Deepest_A15,,sample
A16,970,Orange,7,7/3/19,A,A16,Land,16,7,Octo_2,Lowest,,,,A16,CD,,Lowest,Lowest_A16,,sample
A2,970,Orange,7,7/3/19,A,A2,Ocean,2,NA,,Branch,mid,Inner,A,A2,CD,,Branch mid,Branch mid_A2,,sample
A3,970,Orange,7,7/3/19,A,A3,Ocean,3,NA,,Branch,base,Inner,A,A3,CD,,Branch base,Branch base_A3,,sample
A4,970,Orange,7,7/3/19,A,A4,Ocean,4,0,Octo_2,Branch,tip,,B,A4,CD,,Branch tip,Branch tip_A4,,sample
A5,970,Orange,7,7/3/19,A,A5,Ocean,5,NA,,Branch,mid,Outer,B,A5,CD,,Branch mid,Branch mid_A5,,sample
A6,970,Orange,7,7/3/19,A,A6,Ocean,6,1,Octo_2,Branch,base,Inner,B,A6,CD,,Branch base,Branch base_A6,,sample
A7,970,Orange,7,7/3/19,A,A7,Ocean,7,3,Octo_2,Deepest,,,,A7,CD,,Deepest,Deepest_A7,,sample
A8,970,Orange,7,7/3/19,A,A8,Ocean,8,2,Octo_2,Lowest,,,,A8,CD,,Lowest,Lowest_A8,,sample
A9,970,Orange,7,7/3/19,A,A9,Land,9,4,Octo_2,Branch,tip,,C,A9,CD,,Branch tip,Branch tip_A9,,sample
B1,965,Brown,7,7/5/19,B,B1,Ocean,1,0,Octo_3,Branch,tip,,A,B1,C,,Branch tip,Branch tip_B1,,sample
B10,965,Brown,7,7/5/19,B,B10,Land,10,NA,,Branch,mid,Inner,C,B10,C,,Branch mid,Branch mid_B10,,sample
B11,965,Brown,7,7/5/19,B,B11,Land,11,5,Octo_3,Branch,base,Inner,C,B11,C,,Branch base,Branch base_B11,,sample
B12,965,Brown,7,7/5/19,B,B12,Land,12,NA,,Branch,tip,,D,B12,C,,Branch tip,Branch tip_B12,,sample
B13,965,Brown,7,7/5/19,B,B13,Land,13,NA,,Branch,mid,Outer,D,B13,C,,Branch mid,Branch mid_B13,,sample
B14,965,Brown,7,7/5/19,B,B14,Land,14,NA,,Branch,base,Outer,D,B14,C,,Branch base,Branch base_B14,,sample
B15,965,Brown,7,7/5/19,B,B15,Land,15,6,Octo_3,Deepest,,,,B15,C,,Deepest,Deepest_B15,,sample
B16,965,Brown,7,7/5/19,B,B16,Land,16,7,Octo_3,Lowest,,,,B16,C,,Lowest,Lowest_B16,,sample
B2,965,Brown,7,7/5/19,B,B2,Ocean,2,NA,,Branch,mid,Inner,A,B2,C,,Branch mid,Branch mid_B2,,sample
B3,965,Brown,7,7/5/19,B,B3,Ocean,3,1,Octo_3,Branch,base,Inner,A,B3,C,,Branch base,Branch base_B3,,sample
B4,965,Brown,7,7/5/19,B,B4,Ocean,4,NA,,Branch,tip,,B,B4,C,,Branch tip,Branch tip_B4,,sample
B5,965,Brown,7,7/5/19,B,B5,Ocean,5,NA,,Branch,mid,Outer,B,B5,C,,Branch mid,Branch mid_B5,,sample
B6,965,Brown,7,7/5/19,B,B6,Ocean,6,NA,,Branch,base,Outer,B,B6,C,,Branch base,Branch base_B6,,sample
B7,965,Brown,7,7/5/19,B,B7,Ocean,7,2,Octo_3,Deepest,,,,B7,C,,Deepest,Deepest_B7,,sample
B8,965,Brown,7,7/5/19,B,B8,Ocean,8,3,Octo_3,Lowest,,,,B8,C,,Lowest,Lowest_B8,,sample
B9,965,Brown,7,7/5/19,B,B9,Land,9,4,Octo_3,Branch,tip,,C,B9,C,,Branch tip,Branch tip_B9,,sample
C1,969,Orange,5,7/8/19,C,C1,Ocean,1,0,Octo_1,Branch,tip,,A,C1,D,Few,Branch tip,Branch tip_C1,,sample
C10,969,Orange,5,7/8/19,C,C10,Land,10,NA,,Branch,mid,Outer,C,C10,D,Few,Branch mid,Branch mid_C10,,sample
C11,969,Orange,5,7/8/19,C,C11,Land,11,5,Octo_1,Branch,base,Inner,C,C11,D,Few,Branch base,Branch base_C11,,sample
C12,969,Orange,5,7/8/19,C,C12,Land,12,NA,,Branch,tip,,D,C12,D,Few,Branch tip,Branch tip_C12,yes,sample
C12b,969,Orange,5,7/8/19,C,C12,Land,12,NA,,Branch,tip,,D,C12,D,Few,Branch tip,Branch tip_C12,yes,sample
C13,969,Orange,5,7/8/19,C,C13,Land,13,NA,,Branch,mid,Inner,D,C13,D,Few,Branch mid,Branch mid_C13,,sample
C14,969,Orange,5,7/8/19,C,C14,Land,14,NA,,Branch,base,Outer,D,C14,D,Few,Branch base,Branch base_C14,,sample
C15,969,Orange,5,7/8/19,C,C15,Land,15,6,Octo_1,Deepest,,,,C15,D,Few,Deepest,Deepest_C15,,sample
C16,969,Orange,5,7/8/19,C,C16,Land,16,7,Octo_1,Lowest,,,,C16,D,Few,Lowest,Lowest_C16,,sample
C2,969,Orange,5,7/8/19,C,C2,Ocean,2,NA,,Branch,mid,Outer,A,C2,D,Few,Branch mid,Branch mid_C2,,sample
C3,969,Orange,5,7/8/19,C,C3,Ocean,3,1,Octo_1,Branch,base,Outer,A,C3,D,Few,Branch base,Branch base_C3,,sample
C4,969,Orange,5,7/8/19,C,C4,Ocean,4,NA,,Branch,tip,,B,C4,D,Few,Branch tip,Branch tip_C4,,sample
C5,969,Orange,5,7/8/19,C,C5,Ocean,5,NA,,Branch,mid,Outer,B,C5,D,Few,Branch mid,Branch mid_C5,,sample
C6,969,Orange,5,7/8/19,C,C6,Ocean,6,NA,,Branch,base,Inner,B,C6,D,Few,Branch base,Branch base_C6,,sample
C7,969,Orange,5,7/8/19,C,C7,Ocean,7,2,Octo_1,Deepest,,,,C7,D,Few,Deepest,Deepest_C7,,sample
C8,969,Orange,5,7/8/19,C,C8,Ocean,8,3,Octo_1,Lowest,,,,C8,D,Few,Lowest,Lowest_C8,,sample
C9,969,Orange,5,7/8/19,C,C9,Land,9,4,Octo_1,Branch,tip,,C,C9,D,Few,Branch tip,Branch tip_C9,,sample
D1,972,Orange,4,7/16/19,D,D1,Ocean,1,0,Octo_5,Branch,tip,,A,D1,D,,Branch tip,Branch tip_D1,,sample
D10,972,Orange,4,7/16/19,D,D10,Land,10,NA,,Branch,mid,Outer,C,D10,D,,Branch mid,Branch mid_D10,,sample
D11,972,Orange,4,7/16/19,D,D11,Land,11,NA,,Branch,base,Inner,C,D11,D,,Branch base,Branch base_D11,,sample
D12,972,Orange,4,7/16/19,D,D12,Land,12,4,Octo_5,Plate,top,,D,D12,D,,Plate top,Plate top_D12,,sample
D13,972,Orange,4,7/16/19,D,D13,Land,13,5,Octo_5,Plate,edge,,D,D13,D,,Plate edge,Plate edge_D13,,sample
D14,972,Orange,4,7/16/19,D,D14,Land,14,6,Octo_5,Plate,underside,,D,D14,D,,Plate underside,Plate underside_D14,,sample
D15,972,Orange,4,7/16/19,D,D15,Land,15,NA,,Deepest,,,,D15,D,,Deepest,Deepest_D15,,sample
D16,972,Orange,4,7/16/19,D,D16,Land,16,7,Octo_5,Lowest,,,,D16,D,,Lowest,Lowest_D16,,sample
D2,972,Orange,4,7/16/19,D,D2,Ocean,2,NA,,Branch,mid,Outer,A,D2,D,,Branch mid,Branch mid_D2,,sample
D3,972,Orange,4,7/16/19,D,D3,Ocean,3,1,Octo_5,Branch,base,Inner,A,D3,D,,Branch base,Branch base_D3,,sample
D4,972,Orange,4,7/16/19,D,D4,Ocean,4,NA,,Plate,top,,B,D4,D,,Plate top,Plate top_D4,,sample
