,PLATEIII_A_1,PLATEIII_A_10,PLATEIII_A_11,PLATEIII_A_12,PLATEIII_A_2,PLATEIII_A_3,PLATEIII_A_4,PLATEIII_A_5,PLATEIII_A_6,PLATEIII_A_7,PLATEIII_A_8,PLATEIII_A_9,PLATEIII_B_1,PLATEIII_B_10,PLATEIII_B_11,PLATEIII_B_12,PLATEIII_B_2,PLATEIII_B_3,PLATEIII_B_4,PLATEIII_B_5,PLATEIII_B_6,PLATEIII_B_7,PLATEIII_B_8,PLATEIII_B_9,PLATEIII_C_10,PLATEIII_C_11,PLATEIII_C_12,PLATEIII_C_2,PLATEIII_C_3,PLATEIII_C_4,PLATEIII_C_5,PLATEIII_C_6,PLATEIII_C_7,PLATEIII_C_8,PLATEIII_C_9,PLATEIII_D_10,PLATEIII_D_11,PLATEIII_D_12,PLATEIII_D_2,PLATEIII_D_3,PLATEIII_D_4,PLATEIII_D_5,PLATEIII_D_6,PLATEIII_D_7,PLATEIII_D_8,PLATEIII_D_9,PLATEIII_E_10,PLATEIII_E_11,PLATEIII_E_12,PLATEIII_E_2,PLATEIII_E_3,PLATEIII_E_4,PLATEIII_E_5,PLATEIII_E_6,PLATEIII_E_7,PLATEIII_E_8,PLATEIII_E_9,PLATEIII_F_10,PLATEIII_F_11,PLATEIII_F_12,PLATEIII_F_2,PLATEIII_F_3,PLATEIII_F_4,PLATEIII_F_5,PLATEIII_F_7,PLATEIII_F_8,PLATEIII_F_9,PLATEIII_G_10,PLATEIII_G_11,PLATEIII_G_12,PLATEIII_G_2,PLATEIII_G_3,PLATEIII_G_4,PLATEIII_G_5,PLATEIII_G_6,PLATEIII_G_7,PLATEIII_G_8,PLATEIII_G_9,PLATEIII_H_1,PLATEIII_H_10,PLATEIII_H_11,PLATEIII_H_12,PLATEIII_H_2,PLATEIII_H_3,PLATEIII_H_4,PLATEIII_H_5,PLATEIII_H_6,PLATEIII_H_7,PLATEIII_H_8,PLATEIII_H_9,PLATEII_A_10,PLATEII_A_11,PLATEII_A_12,PLATEII_A_2,PLATEII_A_3,PLATEII_A_4,PLATEII_A_5,PLATEII_A_6,PLATEII_A_7,PLATEII_A_8,PLATEII_A_9,PLATEII_B_1,PLATEII_B_10,PLATEII_B_11,PLATEII_B_12,PLATEII_B_2,PLATEII_B_3,PLATEII_B_4,PLATEII_B_5,PLATEII_B_6,PLATEII_B_7,PLATEII_B_8,PLATEII_B_9,PLATEII_C_10,PLATEII_C_11,PLATEII_C_12,PLATEII_C_2,PLATEII_C_3,PLATEII_C_4,PLATEII_C_5,PLATEII_C_6,PLATEII_C_7,PLATEII_C_8,PLATEII_C_9,PLATEII_D_10,PLATEII_D_11,PLATEII_D_12,PLATEII_D_2,PLATEII_D_3,PLATEII_D_4,PLATEII_D_5,PLATEII_D_7,PLATEII_D_8,PLATEII_D_9,PLATEII_F_10,PLATEII_F_11,PLATEII_F_12,PLATEII_F_2,PLATEII_F_3,PLATEII_F_4,PLATEII_F_5,PLATEII_F_6,PLATEII_F_7,PLATEII_F_8,PLATEII_F_9,PLATEII_G_10,PLATEII_G_11,PLATEII_G_12,PLATEII_G_2,PLATEII_G_3,PLATEII_G_4,PLATEII_G_5,PLATEII_G_6,PLATEII_G_7,PLATEII_G_8,PLATEII_G_9,PLATEII_H_12,PLATEII_H_2,PLATEII_H_3,PLATEII_H_4,PLATEII_H_5,PLATEII_H_6,PLATEII_H_7,PLATEII_H_8,PLATEII_H_9,PLATEIV_B_1,PLATEIV_B_10,PLATEIV_B_11,PLATEIV_B_12,PLATEIV_B_2,PLATEIV_B_3,PLATEIV_B_4,PLATEIV_B_6,PLATEIV_B_7,PLATEIV_B_8,PLATEIV_B_9,PLATEIV_C_1,PLATEIV_C_10,PLATEIV_C_11,PLATEIV_C_12,PLATEIV_C_2,PLATEIV_C_3,PLATEIV_C_4,PLATEIV_C_6,PLATEIV_C_7,PLATEIV_C_8,PLATEIV_C_9,PLATEIV_D_1,PLATEIV_D_10,PLATEIV_D_11,PLATEIV_D_12,PLATEIV_D_2,PLATEIV_D_3,PLATEIV_D_4,PLATEIV_D_6,PLATEIV_D_7,PLATEIV_D_8,PLATEIV_D_9,PLATEIV_E_1,PLATEIV_E_10,PLATEIV_E_11,PLATEIV_E_12,PLATEIV_E_2,PLATEIV_E_3,PLATEIV_E_4,PLATEIV_E_6,PLATEIV_E_7,PLATEIV_E_8,PLATEIV_E_9,PLATEIV_F_1,PLATEIV_F_10,PLATEIV_F_11,PLATEIV_F_12,PLATEIV_F_2,PLATEIV_F_3,PLATEIV_F_4,PLATEIV_F_6,PLATEIV_F_7,PLATEIV_F_8,PLATEIV_F_9,PLATEIV_G_1,PLATEIV_G_10,PLATEIV_G_11,PLATEIV_G_12,PLATEIV_G_2,PLATEIV_G_3,PLATEIV_G_4,PLATEIV_G_6,PLATEIV_G_7,PLATEIV_G_8,PLATEIV_G_9,PLATEIV_H_1,PLATEIV_H_10,PLATEIV_H_11,PLATEIV_H_12,PLATEIV_H_6,PLATEIV_H_7,PLATEIV_H_8,PLATEIV_H_9,PLATEI_B_1,PLATEI_B_10,PLATEI_B_11,PLATEI_B_12,PLATEI_B_3,PLATEI_B_4,PLATEI_B_5,PLATEI_B_7,PLATEI_B_8,PLATEI_B_9,PLATEI_C_1,PLATEI_C_10,PLATEI_C_11,PLATEI_C_12,PLATEI_C_2,PLATEI_C_3,PLATEI_C_4,PLATEI_C_5,PLATEI_C_6,PLATEI_C_7,PLATEI_C_8,PLATEI_C_9,PLATEI_D_10,PLATEI_D_11,PLATEI_D_12,PLATEI_D_2,PLATEI_D_3,PLATEI_D_4,PLATEI_D_5,PLATEI_D_6,PLATEI_D_7,PLATEI_D_9,PLATEI_E_10,PLATEI_E_11,PLATEI_E_12,PLATEI_E_2,PLATEI_E_3,PLATEI_E_4,PLATEI_E_5,PLATEI_E_6,PLATEI_E_7,PLATEI_E_9,PLATEI_F_10,PLATEI_F_11,PLATEI_F_12,PLATEI_F_2,PLATEI_F_3,PLATEI_F_4,PLATEI_F_5,PLATEI_F_6,PLATEI_F_7,PLATEI_F_8,PLATEI_F_9,PLATEI_G_10,PLATEI_G_11,PLATEI_G_12,PLATEI_G_2,PLATEI_G_3,PLATEI_G_4,PLATEI_G_5,PLATEI_G_6,PLATEI_G_7,PLATEI_G_8,PLATEI_G_9,PLATEI_H_1,PLATEI_H_10,PLATEI_H_11,PLATEI_H_12,PLATEI_H_2,PLATEI_H_3,PLATEI_H_4,PLATEI_H_5,PLATEI_H_6,PLATEI_H_7,PLATEI_H_8,PLATEI_H_9,PLATEVI_A_1,PLATEVI_A_10,PLATEVI_A_11,PLATEVI_A_12,PLATEVI_A_2,PLATEVI_A_3,PLATEVI_A_4,PLATEVI_A_7,PLATEVI_A_8,PLATEVI_A_9,PLATEVI_B_1,PLATEVI_B_10,PLATEVI_B_2,PLATEVI_B_3,PLATEVI_B_4,PLATEVI_B_6,PLATEVI_B_7,PLATEVI_B_8,PLATEVI_B_9,PLATEVI_C_1,PLATEVI_C_10,PLATEVI_C_11,PLATEVI_C_12,PLATEVI_C_2,PLATEVI_C_3,PLATEVI_C_4,PLATEVI_C_6,PLATEVI_C_7,PLATEVI_C_8,PLATEVI_C_9,PLATEVI_D_1,PLATEVI_D_10,PLATEVI_D_11,PLATEVI_D_12,PLATEVI_D_2,PLATEVI_D_3,PLATEVI_D_4,PLATEVI_D_6,PLATEVI_D_7,PLATEVI_D_8,PLATEVI_D_9,PLATEVI_E_1,PLATEVI_E_10,PLATEVI_E_11,PLATEVI_E_2,PLATEVI_E_3,PLATEVI_E_4,PLATEVI_E_6,PLATEVI_E_7,PLATEVI_E_8,PLATEVI_E_9,PLATEVI_F_1,PLATEVI_F_10,PLATEVI_F_11,PLATEVI_F_12,PLATEVI_F_2,PLATEVI_F_3,PLATEVI_F_4,PLATEVI_F_7,PLATEVI_F_8,PLATEVI_F_9,PLATEVI_G_1,PLATEVI_G_12,PLATEVI_G_2,PLATEVI_G_3,PLATEVI_G_4,PLATEVI_G_6,PLATEVI_G_7,PLATEV_A_11,PLATEV_A_8,PLATEV_B_7,PLATEV_C_2,PLATEV_D_2,PLATEV_D_7
Otu0001,0,9,2,12,0,0,8,95,1,0,5,0,0,892,1373,188,0,33,5,2,215,427,507,1857,574,1281,757,0,654,297,1348,585,5,9,2137,1428,349,1179,0,0,3,26,232,40,0,2402,55,895,1542,0,56,1157,7,1,468,68,1715,482,869,533,429,259,0,254,5,4,1950,1691,1012,871,0,32,9,1490,1056,303,162,19,0,580,202,931,0,0,1178,6,1247,0,0,1178,188,0,4,2,0,0,0,0,0,10,235,528,1460,2146,315,213,1943,498,542,344,1004,1362,1798,2502,4,1385,286,3,1203,142,48,803,214,631,27,895,0,0,21,0,0,29,0,87,1374,254,663,37,84,308,317,5,50,996,61,12,863,1568,131,0,0,191,1707,0,219,999,0,32,0,0,543,665,365,2,0,477,2179,989,298,1182,557,1846,189,917,422,812,938,1525,899,146,377,39,27,1305,1406,362,1969,173,56,11,557,2,0,14,0,2,0,23,1335,988,309,2097,30,1351,231,0,314,485,753,1119,1429,808,2630,1703,669,760,4,1050,1517,1269,780,93,1507,2069,1649,89,263,106,0,1347,1597,0,0,104,972,0,530,866,1488,35,2305,548,527,1931,2,593,797,1101,1437,400,10,1,395,0,102,6,1812,1081,1685,1318,31,216,630,1162,92,127,202,0,0,16,1119,1290,10,32,803,168,192,1488,612,721,1428,209,126,152,0,1,48,1262,1122,68,1058,1469,18,9,1691,337,6,0,319,2039,12,69,151,205,14,0,5,84,469,2,154,674,1535,693,0,0,50,16,0,2,1269,1519,36,0,579,0,73,0,170,2254,0,0,2,1748,821,2191,0,5,208,1270,1096,1398,540,181,1228,98,0,0,3,365,650,753,0,0,359,1,0,185,1041,0,2,63,13,62,7,1327,0,0,0,6,0,0,0,8,1,12,1,0,6,0,3,5,0,274,1094,0,182,0,0
Otu0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu0003,175,1410,7,0,208,264,279,3,98,312,274,0,335,117,200,344,604,329,620,495,676,575,241,58,151,281,93,490,377,363,95,220,461,563,12,124,157,225,483,596,906,98,356,223,419,62,58,90,194,576,667,216,98,255,604,535,56,59,260,69,108,567,757,688,810,333,56,105,165,252,114,579,176,185,479,344,461,181,238,256,479,151,10,98,129,284,244,588,453,55,8,142,215,26,69,104,82,44,43,44,296,74,17,69,43,357,10,186,21,262,47,68,56,34,103,94,273,75,86,33,769,111,182,51,251,183,355,130,59,162,40,78,119,17,53,520,58,95,323,366,57,517,342,196,1,41,232,75,401,285,153,28,148,115,45,131,0,190,59,411,190,105,356,17,0,423,47,284,378,131,283,49,343,119,169,25,314,129,444,245,92,24,700,45,76,318,172,26,18,213,40,268,78,89,247,52,39,25,186,58,430,136,142,470,430,35,307,298,115,62,231,319,46,96,584,290,216,168,243,114,255,61,195,196,62,107,135,78,140,98,50,0,230,590,319,85,451,221,130,618,19,202,160,48,40,170,231,251,130,10,83,4,283,24,408,468,85,352,226,219,53,93,283,173,110,307,355,120,62,33,15,144,283,164,181,432,49,105,486,80,232,305,168,161,133,10,123,254,267,228,271,120,273,759,64,252,1,55,722,61,604,280,298,280,0,0,0,187,232,172,112,282,95,425,0,100,11,178,12,34,231,175,236,44,13,7,40,178,23,164,74,69,85,78,96,107,321,114,269,156,48,125,193,563,128,496,348,100,86,341,59,157,90,194,135,63,19,52,22,35,79,82,31,110,309,90,0,0,0,4,0,0,0,11,0,2,0,0,0,0,0,0,0,407,48,59,471,0,0
Otu0004,0,0,0,0,82,0,0,0,4,0,0,446,259,0,1,62,0,0,79,0,0,0,109,8,45,0,0,19,0,0,0,20,0,0,0,0,51,0,0,0,0,0,0,0,0,1,5,0,0,0,154,0,0,48,0,277,3,21,2,9,0,0,26,9,33,0,23,9,20,0,0,0,2,3,39,45,0,7,1067,0,0,24,0,12,0,1869,0,0,0,1,0,113,0,18,0,0,0,0,0,7,14,268,0,12,12,147,0,0,0,0,0,23,2,1,100,194,27,0,19,0,83,0,0,12,8,271,0,29,0,0,6,26,0,2,3,0,3,502,0,27,25,0,0,112,100,938,2,71,0,0,35,0,63,0,0,194,2873,0,50,0,39,0,0,0,450,64,1,0,0,0,0,0,130,0,0,5,10,5,0,29,0,0,6,0,0,0,40,0,0,0,0,80,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,11,8,0,0,12,0,0,0,0,0,0,0,308,0,0,25,0,0,0,0,21,0,0,386,30,0,0,0,0,49,0,636,0,20,0,0,0,0,15,0,0,1,6,2912,0,71,0,0,0,0,0,0,24,0,128,0,4,0,0,0,0,0,0,0,0,34,0,0,0,0,38,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,22,18,10,6,34,3,104,6,2000,0,0,0,413,3,0,157,0,74,0,50,0,0,0,0,0,21,809,6,0,0,0,0,832,22,130,1,661,158,338,0,0,167,0,99,0,37,0,1,998,121,24,49,0,0,21,0,0,0,140,28,0,0,202,0,407,5,689,0,220,945,301,0,0,0,0,320,479,1395,1409,375,543,834,166,219,0,0,524
Otu0005,0,170,0,0,0,17,41,63,1737,522,68,509,78,0,0,10,0,0,51,0,0,0,0,13,44,0,56,17,0,58,35,8,0,0,5,0,76,153,0,0,70,0,35,119,17,4,13,33,21,67,0,15,67,18,31,0,0,1514,21,43,5,49,0,0,0,0,14,10,12,5,263,91,74,45,0,265,72,10,0,36,36,8,0,0,0,13,139,0,0,8,34,0,89,12,120,31,44,85,31,29,7,109,7,48,15,0,0,0,0,15,4,12,1,4,0,0,64,0,2,9,0,0,24,8,66,0,0,18,28,25,19,47,34,14,0,29,3,0,0,0,21,8,27,0,1,20,0,0,0,15,0,7,5,38,2,77,34,129,0,0,0,112,0,4,463,29,31,0,0,312,0,26,74,20,17,5,90,0,18,61,13,3,65,23,51,18,7,0,0,180,105,18,36,7,80,75,15,10,0,51,92,17,17,14,58,16,16,78,12,5,44,163,0,14,39,6,44,26,24,18,52,24,65,7,34,6,0,36,0,48,42,522,28,0,0,0,101,25,6,0,0,0,71,0,0,0,57,0,33,0,0,0,0,0,0,0,0,45,0,0,6,0,0,53,0,0,0,24,29,0,7,38,69,36,70,0,12,7,0,0,0,58,0,1,0,35,0,0,65,0,0,0,168,59,0,0,0,19,0,0,0,55,16,13,14,5,355,0,0,0,0,0,0,0,498,18,3,30,185,68,0,0,0,0,9,0,56,65,41,0,0,25,155,26,60,0,0,85,96,0,0,0,0,69,55,107,1,43,64,0,0,446,29,27,61,605,8,0,17,0,28,71,40,51,0,0,488,0,0,130,144,0,0,0,0,0,16,477,0,0,0,0,0,0,0,6,41,0,58
Otu0006,850,0,0,0,0,0,0,1057,433,0,0,0,0,0,54,0,0,0,0,7,42,0,0,0,0,118,28,0,0,0,162,10,0,0,0,0,290,0,299,0,0,17,68,1,0,0,0,46,0,0,0,0,460,60,0,0,0,0,38,0,94,0,0,5,0,0,0,0,0,5,59,0,0,26,3,0,0,0,0,0,0,0,0,0,0,8,45,0,0,0,208,0,0,7,0,0,110,2,0,0,385,0,5,0,0,0,0,0,0,0,0,0,30,58,0,0,0,0,0,4,0,0,0,1111,64,0,0,0,0,0,30,0,0,2091,6,0,0,0,0,0,77,0,0,0,4,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,0,0,0,0,4,0,0,1,262,61,0,0,5,1411,3,21,0,25,12,2298,253,3,0,44,74,2,80,0,40,12,1315,196,67,0,0,1586,1,1043,0,0,0,135,0,166,1,0,6,0,0,0,0,4,0,43,0,0,0,1,0,160,0,0,11,160,31,27,8,37,575,0,360,0,0,0,0,0,31,0,1,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,37,6,5,0,0,0,3,0,1,10,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,71,3,18,0,0,0,0,0,0,100,0,165,0,0,0,0,0,0,0,0,76,0,840,343,44,0,0,0,0,0,2,410,0,98,0,3,979,257,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu0008,233,0,0,0,0,176,0,0,64,67,0,0,0,29,0,27,0,0,0,0,0,0,0,0,20,43,177,93,98,0,76,29,0,0,15,76,217,121,0,0,0,65,0,36,0,0,81,24,72,0,3,67,196,30,0,0,69,0,41,35,58,158,0,0,0,0,24,9,55,259,25,0,35,0,0,0,0,491,74,186,0,295,40,7,0,0,24,0,0,50,148,0,215,66,120,94,355,89,564,520,125,37,60,0,13,0,27,72,153,77,115,349,0,20,0,0,0,0,141,26,0,272,33,104,222,18,2,47,257,0,199,770,642,57,5,0,33,0,306,12,0,0,0,23,231,35,0,9,0,0,0,52,0,212,91,13,0,42,10,131,0,17,163,5,0,158,22,0,173,159,115,45,130,12,185,26,433,14,95,11,359,80,0,235,0,381,4,116,43,257,131,206,104,208,177,176,141,282,206,22,11,0,430,0,95,505,41,198,37,598,0,0,5,154,84,32,190,59,0,29,106,13,30,0,142,166,299,145,112,64,37,0,240,0,0,16,14,0,1,0,18,0,0,189,60,0,42,0,0,14,5,0,0,0,84,0,77,176,56,0,1,119,0,0,50,69,259,336,180,23,23,100,124,0,103,0,0,73,0,47,78,0,4,2,81,0,109,205,221,0,0,32,0,0,1,0,0,0,0,0,0,0,41,53,0,0,0,0,15,0,7,0,0,45,0,79,85,0,0,140,258,0,0,0,91,22,190,96,74,11,134,127,68,103,0,15,244,0,0,0,157,172,0,0,0,0,52,388,630,0,0,0,0,446,511,194,85,159,50,719,72,308,497,60,805,133,0,723,0,220,287,446,0,0,3,1134,53,0,0,104,0,0,0,14,20,143,0,661,0
Otu0009,89,0,0,0,45,138,254,78,25,212,391,0,279,100,108,86,475,226,104,211,354,115,298,65,206,129,38,260,98,155,96,180,128,891,10,48,42,74,396,318,253,95,299,127,500,19,31,64,99,214,199,17,116,164,386,84,16,178,82,35,81,232,280,358,362,266,15,96,134,117,97,235,226,57,114,370,306,153,108,199,131,86,9,53,55,195,135,350,365,23,43,173,116,7,310,167,72,133,127,84,126,99,3,35,19,215,43,66,33,92,73,41,0,13,32,182,217,264,226,2,421,134,160,16,225,240,589,126,33,111,83,42,98,90,42,447,54,117,95,481,40,320,370,186,0,19,49,25,307,204,42,9,72,203,33,38,0,338,51,326,234,76,205,11,0,187,37,122,424,108,178,35,195,105,91,9,56,81,97,129,77,25,176,12,51,109,94,13,5,43,34,293,10,49,89,19,30,23,57,52,143,85,98,147,404,15,215,281,61,68,83,236,22,105,244,280,165,122,225,166,148,45,103,57,34,154,201,33,166,39,42,0,75,247,153,55,158,43,79,195,64,106,43,0,14,246,181,226,123,9,27,4,36,314,322,142,58,175,127,112,162,13,152,208,103,193,280,19,94,49,2,22,155,12,72,0,77,49,178,73,121,50,366,217,84,54,140,30,67,526,36,215,169,302,54,223,4,53,338,58,8,141,100,105,0,0,0,396,93,313,3,161,46,56,0,81,4,203,18,12,184,73,138,99,55,1,11,76,83,42,109,61,77,32,0,72,198,35,0,164,136,71,254,272,34,149,37,28,58,112,269,60,95,81,50,13,14,0,99,73,86,46,80,68,50,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,105,107,383,0,0
Otu0010,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,28,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,36,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,2,599,0,0,0,0,10,0,0,0,0,0,776
Otu0011,140,0,0,0,377,99,239,123,20,305,216,0,418,234,102,175,369,257,464,319,131,116,368,46,216,159,75,288,75,303,83,148,279,250,9,36,47,118,83,328,124,50,232,249,384,41,22,71,25,452,164,43,71,200,241,172,22,40,110,36,80,194,211,239,357,145,27,100,64,106,158,590,230,64,181,236,332,224,305,220,436,76,3,27,49,208,160,393,303,39,34,175,116,8,121,140,8,2,64,28,74,29,7,13,70,390,31,40,33,50,58,78,6,22,115,29,251,81,123,24,431,72,67,50,167,99,324,116,30,95,36,94,123,33,19,362,84,62,214,208,119,467,277,151,2,47,164,53,295,362,110,2,136,214,37,204,0,139,38,395,342,112,225,13,0,207,47,243,294,109,119,18,269,80,157,14,37,125,176,177,42,14,228,10,41,125,33,11,11,122,36,173,58,66,111,104,35,36,47,47,193,68,82,179,294,30,407,266,49,79,108,106,49,45,263,248,243,201,226,126,170,48,36,42,71,46,297,20,78,38,57,0,151,663,138,72,137,112,122,567,23,45,82,30,28,168,81,214,31,9,55,0,19,144,258,218,132,128,34,167,518,41,161,84,44,207,144,6,8,117,11,0,3,113,57,353,55,82,15,58,51,59,195,37,61,18,32,111,187,327,289,111,211,0,0,177,0,10,119,95,260,204,161,262,0,0,0,129,73,9,28,106,0,0,0,23,0,38,35,75,104,0,215,119,50,3,99,46,11,52,114,12,28,126,181,35,267,115,143,0,0,244,383,275,9,0,40,17,62,89,105,123,34,0,178,79,7,35,21,25,46,45,42,75,0,95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,271,30,560,0,0
