"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"PLATEIII_A_10"	"15523 (5173 uniques)"	"15375 (49 uniques)"	"15110 (55 uniques)"
"PLATEIII_A_11"	"6178 (2511 uniques)"	"6104 (44 uniques)"	"6038 (45 uniques)"
"PLATEIII_A_12"	"3625 (1245 uniques)"	"3530 (21 uniques)"	"3453 (15 uniques)"
"PLATEIII_A_1"	"8470 (3334 uniques)"	"8438 (77 uniques)"	"7746 (78 uniques)"
"PLATEIII_A_2"	"13138 (4921 uniques)"	"13023 (75 uniques)"	"9135 (78 uniques)"
"PLATEIII_A_3"	"12363 (5069 uniques)"	"12241 (138 uniques)"	"11987 (144 uniques)"
"PLATEIII_A_4"	"12511 (4770 uniques)"	"12438 (74 uniques)"	"12286 (80 uniques)"
"PLATEIII_A_5"	"21497 (8569 uniques)"	"21403 (88 uniques)"	"20839 (93 uniques)"
"PLATEIII_A_6"	"31678 (10285 uniques)"	"31601 (105 uniques)"	"31108 (112 uniques)"
"PLATEIII_A_7"	"17998 (6479 uniques)"	"17949 (80 uniques)"	"17573 (83 uniques)"
"PLATEIII_A_8"	"7549 (3297 uniques)"	"7510 (81 uniques)"	"7356 (80 uniques)"
"PLATEIII_A_9"	"216858 (44229 uniques)"	"216212 (286 uniques)"	"211562 (576 uniques)"
"PLATEIII_B_10"	"23119 (8432 uniques)"	"23017 (84 uniques)"	"21218 (90 uniques)"
"PLATEIII_B_11"	"14980 (5399 uniques)"	"14897 (82 uniques)"	"14741 (82 uniques)"
"PLATEIII_B_12"	"20644 (8062 uniques)"	"20468 (115 uniques)"	"20249 (120 uniques)"
"PLATEIII_B_1"	"4009 (1694 uniques)"	"3958 (42 uniques)"	"3902 (38 uniques)"
"PLATEIII_B_2"	"11091 (4112 uniques)"	"11009 (48 uniques)"	"10921 (76 uniques)"
"PLATEIII_B_3"	"12533 (4816 uniques)"	"12466 (52 uniques)"	"12294 (60 uniques)"
"PLATEIII_B_4"	"16320 (5770 uniques)"	"16234 (45 uniques)"	"16100 (57 uniques)"
"PLATEIII_B_5"	"25319 (9386 uniques)"	"25127 (101 uniques)"	"24924 (115 uniques)"
"PLATEIII_B_6"	"21352 (7665 uniques)"	"21276 (67 uniques)"	"20903 (71 uniques)"
"PLATEIII_B_7"	"29905 (9543 uniques)"	"29718 (75 uniques)"	"28869 (92 uniques)"
"PLATEIII_B_8"	"21466 (7729 uniques)"	"21352 (57 uniques)"	"21136 (78 uniques)"
"PLATEIII_B_9"	"31836 (9367 uniques)"	"31642 (108 uniques)"	"29465 (120 uniques)"
"PLATEIII_C_10"	"23816 (8839 uniques)"	"23471 (110 uniques)"	"22157 (105 uniques)"
"PLATEIII_C_11"	"30873 (9375 uniques)"	"30822 (90 uniques)"	"30602 (96 uniques)"
"PLATEIII_C_12"	"74756 (20613 uniques)"	"74650 (149 uniques)"	"74144 (189 uniques)"
"PLATEIII_C_1"	"1007 (441 uniques)"	"987 (26 uniques)"	"978 (25 uniques)"
"PLATEIII_C_2"	"22973 (6440 uniques)"	"22917 (53 uniques)"	"22305 (59 uniques)"
"PLATEIII_C_3"	"13389 (4547 uniques)"	"13326 (50 uniques)"	"13202 (62 uniques)"
"PLATEIII_C_4"	"28098 (9104 uniques)"	"28025 (81 uniques)"	"27784 (86 uniques)"
"PLATEIII_C_5"	"42318 (12315 uniques)"	"42216 (110 uniques)"	"41765 (120 uniques)"
"PLATEIII_C_6"	"45609 (15459 uniques)"	"45444 (138 uniques)"	"44954 (167 uniques)"
"PLATEIII_C_7"	"20764 (6927 uniques)"	"20706 (67 uniques)"	"20528 (72 uniques)"
"PLATEIII_C_8"	"13866 (4922 uniques)"	"13820 (37 uniques)"	"13699 (52 uniques)"
"PLATEIII_C_9"	"189361 (34383 uniques)"	"188988 (277 uniques)"	"186138 (292 uniques)"
"PLATEIII_D_10"	"41028 (11412 uniques)"	"40862 (95 uniques)"	"38977 (119 uniques)"
"PLATEIII_D_11"	"39419 (13826 uniques)"	"39224 (144 uniques)"	"38231 (158 uniques)"
