sample	0	1	2	3	4	5	6	7	8	9	10	11
PLATEIII_A_10	84	16	13	3	3	1	1	1	6	1	0	0
PLATEIII_A_11	53	5	0	0	1	0	1	3	1	0	0	0
PLATEIII_A_12	29	1	1	1	0	1	0	1	0	0	2	0
PLATEIII_A_1	78	9	2	0	0	1	0	2	0	1	0	0
PLATEIII_A_2	84	7	2	4	2	0	1	0	0	0	0	0
PLATEIII_A_3	171	25	2	2	0	2	7	0	1	2	0	0
PLATEIII_A_4	111	16	11	6	2	1	2	2	3	1	1	0
PLATEIII_A_5	128	12	3	2	3	1	2	1	1	0	1	0
PLATEIII_A_6	152	17	2	2	1	0	2	2	5	0	0	0
PLATEIII_A_7	125	13	1	2	1	0	1	0	4	0	0	0
PLATEIII_A_8	128	10	6	2	1	3	4	3	4	0	0	2
PLATEIII_A_9	485	383	262	223	200	113	63	71	58	15	0	0
PLATEIII_B_10	142	8	1	1	1	3	2	2	3	1	0	0
PLATEIII_B_11	119	7	3	1	0	3	1	2	4	1	0	0
PLATEIII_B_12	163	17	4	2	1	3	2	3	4	1	0	0
PLATEIII_B_1	45	4	2	0	0	2	0	0	0	1	0	0
PLATEIII_B_2	76	32	2	2	1	0	0	0	0	1	0	0
PLATEIII_B_3	98	12	2	5	1	1	4	1	1	1	0	1
PLATEIII_B_4	86	13	1	1	1	1	1	2	2	0	1	0
PLATEIII_B_5	180	20	5	3	2	1	3	2	2	1	0	0
PLATEIII_B_6	112	9	6	2	0	2	0	1	0	0	0	0
PLATEIII_B_7	122	23	3	1	0	2	2	1	1	3	0	0
PLATEIII_B_8	115	23	5	0	0	0	1	0	3	1	1	0
PLATEIII_B_9	219	26	5	4	0	3	4	1	7	2	0	0
PLATEIII_C_10	160	7	1	0	1	0	2	0	3	1	1	0
PLATEIII_C_11	161	7	1	1	4	6	3	2	3	2	0	0
PLATEIII_C_12	244	46	10	3	2	3	5	1	1	3	0	0
PLATEIII_C_1	30	0	0	0	0	0	0	0	0	0	0	0
PLATEIII_C_2	91	9	2	1	0	1	1	0	1	1	0	0
PLATEIII_C_3	84	14	3	0	2	1	1	0	1	1	0	1
PLATEIII_C_4	120	10	1	2	2	0	2	2	3	0	1	1
PLATEIII_C_5	188	18	4	5	0	4	0	4	6	4	1	1
PLATEIII_C_6	244	40	10	5	4	4	4	3	3	3	1	1
PLATEIII_C_7	116	7	4	2	0	1	4	2	1	2	1	0
PLATEIII_C_8	76	17	2	0	0	3	0	2	0	0	0	0
