"","Genus","Species"
"Otu00001",NA,NA
"Otu00003",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu00004","Anoxybacillus","amylolyticus/ayderensis/beppuensis/bogrovensis/flavithermus/gonensis/kamchatkensis/kaynarcensis/kestanbolensis/mongoliensis/pushchinoensis/rupiensis/suryakundensis/thermarum/tunisiense/voinovskiensis"
"Otu00005","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu00006","Endozoicomonas","elysicola/montiporae"
"Otu00008","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu00009","Hydrogenophilus","islandicus"
"Otu00010",NA,NA
"Otu00011",NA,NA
"Otu00012","Lactobacillus","delbrueckii/fermentum/ingluviei/oris/parabuchneri/plantarum"
"Otu00013","Meiothermus","silvanus"
"Otu00014",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu00015",NA,NA
"Otu00016","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu00017",NA,NA
"Otu00018",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu00019",NA,NA
"Otu00020","Curvibacter","gracilis/lanceolatus"
"Otu00021",NA,NA
"Otu00022","Methylobacterium","jeotgali"
"Otu00023","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu00024","Erythrobacter","citreus/flavus/nanhaisediminis/pelagi/piscidermidis"
"Otu00025",NA,NA
"Otu00026","Ralstonia","detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii"
"Otu00027",NA,NA
