	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
PLATEIII_C_1	1102	1007	1007	1007 (441 uniques)	987 (26 uniques)	978 (25 uniques)	865 (24 uniques)	865 (24 uniques)	865 (24 uniques)	865 (22 uniques)	751 (19 uniques)	751 (19 uniques)	/	/
PLATEIII_D_1	6655	5956	5956	5956 (2369 uniques)	5875 (66 uniques)	3492 (62 uniques)	1607 (36 uniques)	1607 (36 uniques)	1607 (36 uniques)	1607 (32 uniques)	1263 (28 uniques)	1263 (28 uniques)	/	/
PLATEIII_E_1	1642	1486	1486	1486 (669 uniques)	1460 (30 uniques)	1422 (26 uniques)	1268 (25 uniques)	1268 (25 uniques)	1268 (25 uniques)	1268 (25 uniques)	1245 (24 uniques)	1245 (24 uniques)	/	/
PLATEIII_F_1	3475	3094	3094	3094 (1367 uniques)	3051 (54 uniques)	2900 (49 uniques)	2311 (39 uniques)	2311 (39 uniques)	2311 (39 uniques)	2311 (33 uniques)	2225 (31 uniques)	2225 (31 uniques)	/	/
PLATEIII_F_6	544	173	173	173 (141 uniques)	112 (9 uniques)	55 (3 uniques)	55 (3 uniques)	55 (3 uniques)	55 (3 uniques)	55 (3 uniques)	39 (2 uniques)	39 (2 uniques)	/	/
PLATEIII_G_1	1201	1057	1057	1057 (570 uniques)	1002 (40 uniques)	925 (32 uniques)	763 (30 uniques)	763 (30 uniques)	763 (30 uniques)	763 (30 uniques)	621 (27 uniques)	621 (27 uniques)	/	/
PLATEII_A_1	309	275	275	275 (161 uniques)	223 (22 uniques)	183 (13 uniques)	183 (13 uniques)	183 (13 uniques)	183 (13 uniques)	183 (13 uniques)	173 (12 uniques)	173 (12 uniques)	/	/
PLATEII_C_1	2099	1933	1933	1933 (607 uniques)	1911 (31 uniques)	1886 (35 uniques)	1886 (30 uniques)	1886 (30 uniques)	1886 (30 uniques)	1886 (23 uniques)	1837 (20 uniques)	1837 (20 uniques)	/	/
PLATEII_D_1	342	301	301	301 (196 uniques)	225 (35 uniques)	169 (22 uniques)	169 (22 uniques)	169 (22 uniques)	169 (22 uniques)	169 (22 uniques)	169 (22 uniques)	169 (22 uniques)	/	/
PLATEII_D_6	525	80	80	80 (70 uniques)	32 (4 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	/	/
PLATEII_E_1	5	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_10	117	104	104	104 (68 uniques)	70 (7 uniques)	61 (3 uniques)	61 (3 uniques)	61 (3 uniques)	61 (3 uniques)	61 (3 uniques)	61 (3 uniques)	61 (3 uniques)	/	/
PLATEII_E_11	19	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_12	37	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_2	35	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_3	27	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_4	30	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_5	42	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_6	35	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_7	33	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_E_8	63	60	60	60 (37 uniques)	39 (6 uniques)	30 (3 uniques)	30 (3 uniques)	30 (3 uniques)	30 (3 uniques)	30 (3 uniques)	12 (2 uniques)	12 (2 uniques)	/	/
PLATEII_E_9	302	254	254	254 (187 uniques)	181 (17 uniques)	144 (11 uniques)	144 (11 uniques)	144 (11 uniques)	144 (11 uniques)	144 (11 uniques)	124 (9 uniques)	124 (9 uniques)	/	/
PLATEII_F_1	972	881	881	881 (299 uniques)	861 (34 uniques)	832 (27 uniques)	832 (27 uniques)	832 (27 uniques)	832 (27 uniques)	832 (27 uniques)	824 (26 uniques)	824 (26 uniques)	/	/
PLATEII_G_1	31	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEII_H_1	751	679	679	679 (246 uniques)	648 (22 uniques)	623 (19 uniques)	623 (18 uniques)	623 (18 uniques)	623 (18 uniques)	623 (18 uniques)	623 (18 uniques)	623 (18 uniques)	/	/
PLATEII_H_10	3212	2789	2789	2789 (823 uniques)	2753 (14 uniques)	2640 (10 uniques)	2640 (10 uniques)	2640 (10 uniques)	2640 (10 uniques)	2640 (10 uniques)	2640 (10 uniques)	2640 (10 uniques)	/	/
PLATEII_H_11	2698	2301	2301	2301 (673 uniques)	2270 (14 uniques)	2190 (12 uniques)	2190 (12 uniques)	2190 (12 uniques)	2190 (12 uniques)	2190 (11 uniques)	2035 (9 uniques)	2035 (9 uniques)	/	/
PLATEIV_A_1	33	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_10	10	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_11	9	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_12	78	64	64	64 (50 uniques)	49 (4 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	30 (2 uniques)	/	/
PLATEIV_A_2	12	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_3	19	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_4	13	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_6	21	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_7	11	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_8	12	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_A_9	11	/	/	/	/	/	/	/	/	/	/	/	/	/
PLATEIV_B_5	17	/	/	/	/	/	/	/	/	/	/	/	/	/
