Sample_name,Prop.C,Prop.D
A1,0.32625,0.67375
A10,0.60125,0.39875
A11,0.506875,0.493125
A12,0.44625,0.55375
A13,0.81,0.19
A14,0.519375,0.480625
A15,0.569375,0.430625
A16,0.603125,0.396875
A2,0.50625,0.49375
A3,0.56625,0.43375
A4,0.42875,0.57125
A5,0.738125,0.261875
A6,0.49375,0.50625
A7,0.769375,0.230625
A8,0.658125,0.341875
A9,0.29,0.71
B1,1,0
B10,1,0
B11,1,0
B12,1,0
B14,1,0
B15,1,0
B16,1,0
B2,1,0
B3,1,0
B4,1,0
B5,1,0
B7,1,0
B8,1,0
B9,1,0
C1,0,1
C10,0,1
C11,0,1
C12,0,1
C13,0,1
C15,0,1
C16,0,1
C2,0,1
C3,0,1
C4,0,1
C5,0,1
C6,0.025625,0.974375
C7,0,1
C8,0,1
C9,0,1
D1,0,1
D10,0,1
D11,0,1
D12,0,1
D13,0,1
D14,0,1
D15,0,1
D16,0,1
D2,0,1
D3,0,1
D4,0,1
D5,0,1
D6,0,1
D7,0,1
D8,0.00375,0.99625
D9,0,1
E1,1,0
E10,1,0
E11,1,0
E12,1,0
E13,1,0
E14,1,0
E15,1,0
E16,1,0
E2,1,0
E3,1,0
E4,1,0
E5,1,0
E6,1,0
E7,1,0
E8,1,0
E9,1,0
F1,0,1
F10,0,1
F11,0,1
F12,0,1
F13,0,1
F14,0,1
F15,0,1
F16,0,1
F2,0,1
F3,0,1
F4,0,1
F5,0,1
F6,0,1
F7,0,1
F8,0,1
F9,0,1
G10,0.8275,0.1725
G11,0.529375,0.470625
G12,0.236875,0.763125
G13,0.223125,0.776875
G14,0.195,0.805
G15,0.645625,0.354375
G16,0.4425,0.5575
G2,0.355625,0.644375
G3,0.578125,0.421875
G4,0.133125,0.866875
G6,0.2325,0.7675
G9,0.18625,0.81375
H1,1,0
H10,1,0
H11,1,0
H12,1,0
H13,1,0
H14,1,0
H15,1,0
H16,1,0
H2,1,0
H3,1,0
H4,1,0
H5,1,0
H6,1,0
H7,1,0
H8,0.9775,0.0225
H9,1,0
I1,0.028125,0.971875
I10,0,1
I11,0,1
I12,0,1
I13,0,1
I14,0,1
I15,0,1
I16,0.04375,0.95625
I2,0.05,0.95
I3,0,1
I4,0,1
I5,0.015,0.985
I6,0,1
I7,0,1
I8,0,1
I9,0,1
J1,1,0
J10,1,0
J11,1,0
J12,1,0
J13,1,0
J14,1,0
J15,1,0
J16,1,0
J2,1,0
J3,1,0
J4,1,0
J5,1,0
J6,1,0
J7,1,0
J8,1,0
J9,1,0
K1,0.633125,0.366875
K10,0.938125,0.061875
K11,0.948125,0.051875
K12,0.8925,0.1075
K13,1,0
K14,1,0
K15,0.975,0.025
K16,0.96625,0.03375
K2,0.71875,0.28125
K3,0.913125,0.086875
K4,0.645,0.355
K5,0.88,0.12
K6,0.775,0.225
K7,0.925,0.075
K8,1,0
K9,0.56125,0.43875
L1,1,0
L10,1,0
L11,1,0
L12,1,0
L13,1,0
L14,1,0
L15,1,0
L16,1,0
L2,1,0
L3,1,0
L4,1,0
L5,1,0
L6,1,0
L7,1,0
L8,1,0
L9,1,0
M1,1,0
M10,1,0
M11,1,0
M12,1,0
M13,1,0
M14,1,0
M15,1,0
M16,1,0
M2,1,0
M3,1,0
M4,1,0
M5,1,0
M6,1,0
M7,1,0
M8,1,0
M9,1,0
N1,1,0
N10,1,0
N11,1,0
N12,1,0
N13,1,0
N14,1,0
N15,1,0
N16,0.008125,0.991875
N2,1,0
N3,1,0
N4,1,0
N5,1,0
N6,1,0
N7,0.966875,0.033125
N8,1,0
N9,1,0
O1,0,1
O10,0,1
O11,0,1
O12,0,1
O13,0,1
O14,0,1
O15,0,1
O16,0,1
O2,0,1
O3,0,1
O4,0,1
O5,0,1
O6,0,1
O7,0,1
O8,0,1
O9,0,1
P1,1,0
P10,1,0
P11,1,0
P12,1,0
P13,1,0
P14,1,0
P15,1,0
P16,1,0
P2,1,0
P3,1,0
P4,1,0
P5,1,0
P6,1,0
P7,1,0
P8,1,0
P9,1,0
Q1,0.62,0.38
Q10,1,0
Q12,1,0
Q13,1,0
Q14,1,0
Q15,1,0
Q16,1,0
Q2,0.898125,0.101875
Q3,1,0
Q4,1,0
